id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4,hour,st_cluster
14117438,JK157387,2026-02-21 00:00:00,049XX N MARINE DR,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,2024,020,48,3,26,1169825,1933503,2026,2026-02-28T15:41:06.000,41.973035024,-87.650892061,"{'latitude': '41.973035024', 'longitude': '-87.650892061', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",40,22616,31,635,16,15,2,14,48,0,1
14117952,JK158039,2026-02-21 00:00:00,079XX S ESSEX AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,0422,004,7,46,15,1194232,1852897,2026,2026-02-28T15:41:06.000,41.751281494,-87.563800882,"{'latitude': '41.751281494', 'longitude': '-87.563800882', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,21202,42,478,37,25,19,234,5,0,1
14117994,JK158028,2026-02-21 00:00:00,043XX S PRAIRIE AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,0215,002,3,38,08B,1178762,1876364,2026,2026-02-28T15:41:06.000,41.816042967,-87.619776585,"{'latitude': '41.816042967', 'longitude': '-87.619776585', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,4301,4,162,9,36,24,98,8,0,1
14117188,JK157144,2026-02-21 00:00:00,028XX W 71ST ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,True,0831,008,18,66,26,1158709,1857432,2026,2026-02-28T15:41:06.000,41.764524352,-87.693851809,"{'latitude': '41.764524352', 'longitude': '-87.693851809', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,21867,64,349,30,58,13,208,18,0,1
14121970,JK163126,2026-02-21 00:00:00,079XX S COLES AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,0422,004,7,46,05,1198206,1852708,2026,2026-02-28T15:41:06.000,41.750664406,-87.549244762,"{'latitude': '41.750664406', 'longitude': '-87.549244762', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,21202,42,505,37,25,19,234,5,0,1
14117404,JK157319,2026-02-21 00:00:00,040XX S ELLIS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0214,002,4,36,14,1183270,1878184,2026,2026-02-28T15:41:06.000,41.820933265,-87.603183782,"{'latitude': '41.820933265', 'longitude': '-87.603183782', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,4301,2,220,10,36,24,104,9,0,1
14117310,JK157308,2026-02-21 00:00:00,001XX E CERMAK RD,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0132,001,3,33,06,1177824,1889782,2026,2026-02-28T15:41:06.000,41.852884307,-87.622810205,"{'latitude': '41.852884307', 'longitude': '-87.622810205', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,21194,34,193,9,40,22,148,8,0,1
14119299,JK159837,2026-02-21 00:00:00,008XX W WELLINGTON AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,HOSPITAL BUILDING / GROUNDS,False,False,1933,019,44,6,02,1169981,1920130,2026,2026-02-28T15:41:06.000,41.936335635,-87.650710119,"{'latitude': '41.936335635', 'longitude': '-87.650710119', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38,4449,57,681,25,22,5,31,44,0,1
14117324,JK157337,2026-02-21 00:00:00,0000X W POLK ST,0810,THEFT,OVER $500,STREET,False,False,0123,001,4,32,06,1175781,1896829,2026,2026-02-28T15:41:06.000,41.872267892,-87.630096729,"{'latitude': '41.872267892', 'longitude': '-87.630096729', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14913,38,12,10,35,22,144,9,0,1
14117668,JK157830,2026-02-21 00:00:00,070XX S SANGAMON ST,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,OTHER (SPECIFY),False,False,0733,007,16,68,11,1171189,1858212,2026,2026-02-28T15:41:06.000,41.766401059,-87.648086494,"{'latitude': '41.766401059', 'longitude': '-87.648086494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21559,66,410,32,11,17,215,16,0,1
