date,primary_type,latitude,longitude,location_description,arrest,year
2026-01-24 20:34:00,theft,41.924491602,-87.725945966,SMALL RETAIL STORE,False,2026
2026-01-24 20:30:00,motor vehicle theft,41.832144399,-87.680828165,VEHICLE NON-COMMERCIAL,False,2026
2026-01-24 20:29:00,other offense,41.751457646,-87.552892516,PARKING LOT / GARAGE (NON RESIDENTIAL),True,2026
2026-01-24 20:27:00,battery,41.805902172,-87.656387873,SIDEWALK,False,2026
2026-01-24 20:19:00,battery,41.783522021,-87.593125671,NURSING / RETIREMENT HOME,False,2026
2026-01-24 20:15:00,other offense,41.947552818,-87.779991715,RESIDENCE,False,2026
2026-01-24 20:15:00,motor vehicle theft,41.757376829,-87.66847241,STREET,False,2026
2026-01-24 20:11:00,theft,41.700789401,-87.65074995,STREET,False,2026
2026-01-24 20:09:00,narcotics,41.88476283,-87.754008352,STREET,True,2026
2026-01-24 20:05:00,assault,41.699915337,-87.620245268,RESIDENCE,False,2026
2026-01-24 20:01:00,narcotics,41.763371036,-87.605203964,STREET,True,2026
2026-01-24 20:00:00,criminal sexual assault,41.994587832,-87.657368059,APARTMENT,False,2026
2026-01-24 20:00:00,motor vehicle theft,41.947197026,-87.700491463,STREET,False,2026
2026-01-24 20:00:00,burglary,41.841904764,-87.629533842,STREET,False,2026
2026-01-24 20:00:00,assault,41.906545818,-87.650498565,VEHICLE NON-COMMERCIAL,False,2026
2026-01-24 20:00:00,assault,41.869710651,-87.627477612,STREET,False,2026
2026-01-24 19:55:00,other offense,41.763769102,-87.691780998,RESIDENCE,False,2026
2026-01-24 19:50:00,battery,41.822572864,-87.705535686,RESIDENCE,True,2026
2026-01-24 19:48:00,theft,41.86789576,-87.642212505,TAVERN / LIQUOR STORE,False,2026
2026-01-24 19:48:00,battery,41.783383979,-87.712004624,RESIDENCE,False,2026
2026-01-24 19:45:00,criminal trespass,41.881348623,-87.674525788,SPORTS ARENA / STADIUM,False,2026
2026-01-24 19:36:00,narcotics,41.8796663,-87.73360462,STREET,True,2026
2026-01-24 19:30:00,criminal damage,41.896715933,-87.625119738,HOTEL / MOTEL,False,2026
2026-01-24 19:30:00,theft,42.018498254,-87.672983233,CTA TRAIN,False,2026
2026-01-24 19:27:00,other offense,41.970601046,-87.715866263,APARTMENT,False,2026
2026-01-24 19:20:00,assault,41.928039238,-87.805175072,RESIDENCE,False,2026
2026-01-24 19:20:00,assault,41.783937361,-87.590297618,STREET,False,2026
2026-01-24 19:15:00,other offense,41.812525099,-87.622922617,APARTMENT,False,2026
2026-01-24 19:10:00,motor vehicle theft,41.886174649,-87.639848795,STREET,False,2026
2026-01-24 19:00:00,motor vehicle theft,41.963718715,-87.745160346,STREET,False,2026
2026-01-24 19:00:00,motor vehicle theft,41.771867812,-87.69035858,STREET,False,2026
2026-01-24 19:00:00,motor vehicle theft,41.862700922,-87.718990682,STREET,False,2026
2026-01-24 19:00:00,theft,41.735033879,-87.545782092,APARTMENT,False,2026
2026-01-24 19:00:00,criminal damage,41.896427495,-87.628193572,STREET,False,2026
2026-01-24 19:00:00,battery,41.897540267,-87.766704645,SIDEWALK,True,2026
2026-01-24 19:00:00,motor vehicle theft,41.762519771,-87.674687118,ALLEY,False,2026
2026-01-24 18:56:00,assault,41.891023035,-87.619141016,MOVIE HOUSE / THEATER,False,2026
2026-01-24 18:55:00,battery,41.925094686,-87.700919394,SMALL RETAIL STORE,True,2026
2026-01-24 18:46:00,theft,41.888525948,-87.644322264,OTHER (SPECIFY),False,2026
2026-01-24 18:40:00,motor vehicle theft,41.90575188,-87.766319787,STREET,False,2026
2026-01-24 18:40:00,criminal damage,41.838036966,-87.647032901,APARTMENT,False,2026
2026-01-24 18:37:00,battery,41.806719776,-87.60650325,CONVENIENCE STORE,False,2026
2026-01-24 18:30:00,theft,41.869992943,-87.711441988,STREET,False,2026
2026-01-24 18:30:00,battery,42.002583637,-87.673747518,APARTMENT,False,2026
2026-01-24 18:29:00,battery,42.021173994,-87.673489176,APARTMENT,True,2026
2026-01-24 18:27:00,theft,41.891694878,-87.626155832,DEPARTMENT STORE,True,2026
2026-01-24 18:26:00,theft,41.880257779,-87.735464519,CONVENIENCE STORE,False,2026
2026-01-24 18:24:00,weapons violation,41.743867618,-87.702228253,GAS STATION,False,2026
2026-01-24 18:20:00,public peace violation,41.949493705,-87.769983347,RESIDENCE,False,2026
2026-01-24 18:18:00,motor vehicle theft,41.928943249,-87.739155412,STREET,False,2026
2026-01-24 18:15:00,motor vehicle theft,41.882955536,-87.691269454,STREET,False,2026
2026-01-24 18:14:00,burglary,41.768833001,-87.584412494,APARTMENT,False,2026
